prime,target,condition,primetype,corrAns
budge,BUDGE,mid,related,J
slack,SLACK,mid,related,J
sedan,SEDAN,mid,related,J
tally,TALLY,mid,related,J
posit,POSIT,mid,related,J
flock,FLOCK,mid,related,J
scorn,SCORN,mid,related,J
grail,GRAIL,mid,related,J
bloat,BLOAT,mid,related,J
tumor,TUMOR,mid,related,J
acute,ACUTE,mid,related,J
sauna,SAUNA,mid,related,J
elect,ELECT,mid,related,J
spoof,SPOOF,mid,related,J
clove,PLUSH,mid,unrelated,J
guise,FIEND,mid,unrelated,J
magma,KNELT,mid,unrelated,J
lotto,PRIVY,mid,unrelated,J
kayak,SIGMA,mid,unrelated,J
taint,PARSE,mid,unrelated,J
fanny,CARTE,mid,unrelated,J
rouge,VERGE,mid,unrelated,J
vitro,MOURN,mid,unrelated,J
floss,SHRUG,mid,unrelated,J
tempt,CLASP,mid,unrelated,J
flirt,BATHE,mid,unrelated,J
fluff,LINEN,mid,unrelated,J
butch,STARE,mid,unrelated,J
bowel,MEDIC,mid,unrelated,J
aspen,WEAVE,mid,unrelated,J
chime,FLINT,mid,unrelated,J
crust,FLANK,mid,unrelated,J
spunk,SCRUB,mid,unrelated,J
stoke,HOIST,mid,unrelated,J
dairy,STOUT,mid,unrelated,J
stale,COUGH,mid,unrelated,J
gypsy,ANNEX,mid,unrelated,J
gloss,PLUME,mid,unrelated,J
topaz,QUART,mid,unrelated,J
proof,PROOF,high,related,J
clear,CLEAR,high,related,J
audio,AUDIO,high,related,J
apply,APPLY,high,related,J
phone,PHONE,high,related,J
water,CLASS,high,related,J
raise,RAISE,high,related,J
civil,CIVIL,high,related,J
match,MATCH,high,related,J
local,LOCAL,high,related,J
minor,MINOR,high,related,J
below,BELOW,high,related,J
extra,EXTRA,high,related,J
court,COURT,high,related,J
exact,EXACT,high,related,J
bunch,BUNCH,high,related,J
quick,QUICK,high,related,J
birth,BIRTH,high,related,J
truth,TRUTH,high,related,J
serve,SERVE,high,related,J
trade,TRADE,high,related,J
heart,HEART,high,related,J
index,INDEX,high,related,J
cable,CABLE,high,related,J
break,BREAK,high,related,J
avoid,WOMAN,high,unrelated,J
short,FRONT,high,unrelated,J
aware,VOICE,high,unrelated,J
large,STOCK,high,unrelated,J
prove,SEVEN,high,unrelated,J
brand,BLOOD,high,unrelated,J
river,PLAIN,high,unrelated,J
guess,SOLID,high,unrelated,J
month,LIMIT,high,unrelated,J
heard,SCALE,high,unrelated,J
space,STUFF,high,unrelated,J
leave,MAJOR,high,unrelated,J
agree,BROWN,high,unrelated,J
metal,HOUSE,high,unrelated,J
along,STAGE,high,unrelated,J
print,BUILT,high,unrelated,J
worst,VIDEO,high,unrelated,J
sound,STORY,high,unrelated,J
faith,MARCH,high,unrelated,J
quote,CLEAN,high,unrelated,J
train,PRICE,high,unrelated,J
small,EVENT,high,unrelated,J
night,THANK,high,unrelated,J
shell,RADIO,high,unrelated,J
alone,SORRY,high,unrelated,J
inurt,INURT,non-word,related,F
shawt,SHAWT,non-word,related,F
delax,DELAX,non-word,related,F
thelp,THELP,non-word,related,F
isapt,ISAPT,non-word,related,F
fopaz,FOPAZ,non-word,related,F
fuxom,FUXOM,non-word,related,F
bloot,BLOOT,non-word,related,F
scart,SCART,non-word,related,F
frint,FRINT,non-word,related,F
ahuck,AHUCK,non-word,related,F
netro,NETRO,non-word,related,F
moust,MOUST,non-word,related,F
barsh,BARSH,non-word,related,F
avort,AVORT,non-word,related,F
venem,VENEM,non-word,related,F
grack,GRACK,non-word,related,F
ranth,RANTH,non-word,related,F
frick,FRICK,non-word,related,F
nohew,NOHEW,non-word,related,F
pramp,PRAMP,non-word,related,F
altep,ALTEP,non-word,related,F
scrib,SCRIB,non-word,related,F
tumph,TUMPH,non-word,related,F
dorst,DORST,non-word,related,F
thint,THINT,non-word,related,F
rourt,ROURT,non-word,related,F
smout,SMOUT,non-word,related,F
kayuk,KAYUK,non-word,related,F
drick,DRICK,non-word,related,F
smoop,SMOOP,non-word,related,F
deirm,DEIRM,non-word,related,F
ephic,EPHIC,non-word,related,F
glurp,GLURP,non-word,related,F
blumb,BLUMB,non-word,related,F
eicht,EICHT,non-word,related,F
forim,FORIM,non-word,related,F
slent,SLENT,non-word,related,F
lepot,LEPOT,non-word,related,F
plock,PLOCK,non-word,related,F
ocheb,OCHEB,non-word,related,F
febut,FEBUT,non-word,related,F
coreb,COREB,non-word,related,F
frath,FRATH,non-word,related,F
eggem,EGGEM,non-word,related,F
gredo,GREDO,non-word,related,F
brost,BROST,non-word,related,F
ganic,GANIC,non-word,related,F
polep,POLEP,non-word,related,F
snock,SNOCK,non-word,related,F
fomit,FOMIT,non-word,related,F
sholf,SHOLF,non-word,related,F
racef,RACEF,non-word,related,F
thamp,THAMP,non-word,related,F
purso,PURSO,non-word,related,F
glarm,GLARM,non-word,related,F
fingo,FINGO,non-word,related,F
gotch,GOTCH,non-word,related,F
spuff,SPUFF,non-word,related,F
schew,SCHEW,non-word,related,F
humot,HUMOT,non-word,related,F
sgrew,SGREW,non-word,related,F
fadio,FADIO,non-word,related,F
plint,PLINT,non-word,related,F
pheek,PHEEK,non-word,related,F
blasm,BLASM,non-word,related,F
reash,REASH,non-word,related,F
chank,CHANK,non-word,related,F
septh,SEPTH,non-word,related,F
feeth,FEETH,non-word,related,F
tosit,TOSIT,non-word,related,F
exuct,EXUCT,non-word,related,F
ethym,ETHYM,non-word,related,F
feght,FEGHT,non-word,related,F
stoff,STOFF,non-word,related,F
strat,CRUCK,non-word,unrelated,F
gleat,FATHO,non-word,unrelated,F
dolio,FIRSH,non-word,unrelated,F
cutch,PALTZ,non-word,unrelated,F
greaf,THARK,non-word,unrelated,F
broot,AUFIT,non-word,unrelated,F
lubic,HINUP,non-word,unrelated,F
drirk,JONGO,non-word,unrelated,F
cooch,GUAST,non-word,unrelated,F
motem,SUNCH,non-word,unrelated,F
abapt,CLEAK,non-word,unrelated,F
nigit,STRAM,non-word,unrelated,F
hilac,ETUIP,non-word,unrelated,F
cojex,OPERT,non-word,unrelated,F
prilt,KEACH,non-word,unrelated,F
whirp,UMARM,non-word,unrelated,F
shino,TOOCH,non-word,unrelated,F
nelch,CHUTH,non-word,unrelated,F
exulk,TEDIC,non-word,unrelated,F
morex,MUTCH,non-word,unrelated,F
tamek,HILTH,non-word,unrelated,F
miant,PLUFF,non-word,unrelated,F
bloth,WIDET,non-word,unrelated,F
bumbo,SCOOK,non-word,unrelated,F
occut,FISCO,non-word,unrelated,F
topec,GAMIT,non-word,unrelated,F
shoof,PHASM,non-word,unrelated,F
spack,SONDO,non-word,unrelated,F
blenk,VUINT,non-word,unrelated,F
silaf,RYNIC,non-word,unrelated,F
crunk,WAGET,non-word,unrelated,F
fluck,VOOCH,non-word,unrelated,F
ghisk,GUILM,non-word,unrelated,F
chrik,ELSOM,non-word,unrelated,F
cetup,CROST,non-word,unrelated,F
firch,ALEPT,non-word,unrelated,F
vasem,ROBIT,non-word,unrelated,F
earch,NOAST,non-word,unrelated,F
blont,BEALM,non-word,unrelated,F
ecret,HYRUP,non-word,unrelated,F
wateb,CHOST,non-word,unrelated,F
trook,BORIF,non-word,unrelated,F
ruzak,STARP,non-word,unrelated,F
theet,VALIF,non-word,unrelated,F
blamp,RACEB,non-word,unrelated,F
lambo,DACIT,non-word,unrelated,F
aliom,ABERT,non-word,unrelated,F
brust,PAITH,non-word,unrelated,F
cleot,MOUGH,non-word,unrelated,F
lindo,PLICK,non-word,unrelated,F
driff,TOOST,non-word,unrelated,F
wrast,TACAO,non-word,unrelated,F
lidst,KNEAK,non-word,unrelated,F
huirk,VITCH,non-word,unrelated,F
pumbo,PAXIM,non-word,unrelated,F
whilo,KINGO,non-word,unrelated,F
murkt,TRUFF,non-word,unrelated,F
steck,FUNDT,non-word,unrelated,F
molax,BLOAM,non-word,unrelated,F
ronch,QUILP,non-word,unrelated,F
guesh,FOTCH,non-word,unrelated,F
snump,BROUP,non-word,unrelated,F
fleak,KRAUF,non-word,unrelated,F
recup,SWAFT,non-word,unrelated,F
loast,ADOOF,non-word,unrelated,F
smalt,MEASH,non-word,unrelated,F
swimp,AFENT,non-word,unrelated,F
tymph,SETIP,non-word,unrelated,F
laget,LINEW,non-word,unrelated,F
gluck,CORAX,non-word,unrelated,F
gatob,SCOCK,non-word,unrelated,F
sauto,QUAST,non-word,unrelated,F
crunt,IPEPT,non-word,unrelated,F
pranc,GONET,non-word,unrelated,F
twank,LERTZ,non-word,unrelated,F
